IDs	original.IDs	studies	DB.IDs	PubChem.CIDs	preferred.drug.names	collections	Santi.MoAs	main.MoAs	collapsed.MoAs
sig-21263	K63784565	PRISM	DB12385	97226	10-HYDROXYCAMPTOTHECIN	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-21293	K68552125	PRISM	NA	27924	12-O-TETRADECANOYLPHORBOL-13-ACETATE	SSc	Other	PKC activator	Kinase inhibitor
sig-21114	K23853216	CTRP	NA	1750826	1S,3R-RSL-3	SSc	Other	Ferroptosis inducer	Ferroptosis inducer
sig-20969	A09890259	CTRP	NA	9866186	3-CL-AHPC	SSc	Other	Nuclear receptor binder	Other
sig-21182	K45293975	PRISM	DB01933	72271	7-HYDROXYSTAUROSPORINE	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21049	K07303502	CTRP	NA	5280436	AA-COCF3	SSc	Other	Lipid metabolism inhibitor	Metabolism disruptor
sig-21254	K62391742	CTRP	NA	49846579	ABT-199	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21223	K56301217	CTRP	NA	11228183	ABT-737	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-20948	1910	GDSC	NA	11228183	ABT737	SSc	Apoptosis regulation	Pro-apoptotic agent	Pro-apoptotic agent
sig-20935	1804	GDSC	NA	8269	ACETALAX	SSc	Other	Laxative	Other
sig-20887	1032	GDSC	DB08916	10184653	AFATINIB	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21279	K66175015	CTRP	DB08916	10184653	AFATINIB	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-21280	K66175015	PRISM	DB08916	10184653	AFATINIB	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
sig-20950	1912	GDSC	DB11648	46843057	AFURESERTIB	SSc	AKT inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21195	K49522529	PRISM	DB01436	5282181	ALFACALCIDOL	SSc	NA	Vitamin D receptor agonist	Other
sig-21323	K75295174	CTRP	DB05220	24771867	ALISERTIB	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21324	K75295174	PRISM	DB05220	24771867	ALISERTIB	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-20890	1051	GDSC	DB05220	24771867	ALISERTIB	SSc	Other	Cell cycle arrest	Cell cycle arrest
sig-21422	M07476339	CTRP	NA	NA	ALISERTIB:NAVITOCLAX (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21216	K54997624	PRISM	DB12015	56649450	ALPELISIB	SSc	NA	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21362	K83988098	PRISM	DB12442	5288674	ALVESPIMYCIN	SSc	HSP inhibitor	HSP inhibitor	HSP inhibitor
sig-21294	K68682020	CTRP	DB03496	5287969	ALVOCIDIB	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21047	K06854232	CTRP	NA	2126	AM-580	SSc	Other	Retinoid acid receptor agonist	Other
sig-21109	K21728777	PRISM	NA	24856041	AMG900	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21186	K45724504	PRISM	NA	91518	ANGUIDINE	SSc	protein synthesis inhibitor	Protein synthesis inhibitor	Protein synthesis inhibitor
sig-21270	K64606589	CTRP	NA	44593387	APICIDIN	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21386	K90497590	PRISM	NA	10027278	AR-12	SSc	NA	PDPK1 inhibitor	Kinase inhibitor
sig-21379	K89014967	PRISM	NA	44187362	AS-703026	SSc	NA	MAPK inhibitor	MAPK inhibitor
sig-21033	K02834582	CTRP	NA	75972143	AT-406	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21075	K13390322	PRISM	NA	11338033	AT-7519	SSc	NA	Cell cycle arrest	Cell cycle arrest
sig-21117	K24576554	PRISM	DB05169	135398495	AT-9283	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21230	K58435339	CTRP	NA	11955716	AT13387	SSc	HSP inhibitor	HSP inhibitor	HSP inhibitor
sig-21066	K12040459	CTRP	NA	11175137	AT7867	SSc	AKT inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21125	K25987073	CTRP	NA	5470400	AUSTOCYSTIN D	SSc	NA	DNA replication inhibitor	DNA related agent
sig-20975	A15100685	CTRP	NA	73707595	AVICIN D	SSc	NA	Natural product	Other
sig-21139	K29905972	PRISM	DB06626	6450551	AXITINIB	SSc	NA	VEGFR inhibitor	VEGFR inhibitor
sig-21138	K29905972	CTRP	DB06626	6450551	AXITINIB	SSc	VEGFR inhibitor	VEGFR inhibitor	VEGFR inhibitor
sig-21234	K59146805	CTRP	NA	56973724	AZ-3146	SSc	Other	Cell cycle arrest	Cell cycle arrest
sig-20906	1250	GDSC	NA	25099184	AZ960	SSc	Other	JAK-STAT signaling inhibitor	JAK-STAT signaling inhibitor
sig-20910	1441	GDSC	NA	NA	AZD2014	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21118	K24593301	PRISM	NA	56599293	AZD3463	SSc	Other	ALK inhibitor	IGF1R signaling inhibitor
sig-21118	K24593301	PRISM	NA	56599293	AZD3463	SSc	Other	IGF1R signaling inhibitor	IGF1R signaling inhibitor
