sample	filename	additional_annotation	study	source
Melan_1	GSM5645888_Melan_1	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Melan_2	GSM5645889_Melan_2	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Melan_3	GSM5645890_Melan_3	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Breast_1	GSM5645891_Breast_1	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Breast_2	GSM5645892_Breast_2	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Breast_3	GSM5645893_Breast_3	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Lung_1	GSM5645894_Lung_1	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Lung_2	GSM5645895_Lung_2	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Lung_3	GSM5645896_Lung_3	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Ovarian_1	GSM5645897_Ovarian_1	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Ovarian_2	GSM5645898_Ovarian_2	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Colorectal	GSM5645900_Colorectal	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Renal_Cell_Carcinoma	GSM5645902_Renal_Cell_Carc	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Unknown_Carcinoma	GSM5645904_Unknown_Carc	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
Breast_1_replicate	GSM5645908_Breast_1_biol.rep	Cell_Types_Annotations.csv	brmets_hugo_gonzalez	geo
